"filename", "language", "HTML", "TypeScript", "PostCSS", "comment", "blank", "total"
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/settings/pages/main-page/main-page.css", "PostCSS", 0, 0, 0, 0, 1, 1
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/settings/pages/main-page/main-page.html", "HTML", 1, 0, 0, 0, 1, 2
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/settings/pages/main-page/main-page.ts", "TypeScript", 0, 9, 0, 0, 3, 12
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/settings/routes.ts", "TypeScript", 0, 9, 0, 0, 3, 12
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/template/routes.ts", "TypeScript", 0, 0, 0, 9, 1, 10
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/users/pages/main-page/main-page.css", "PostCSS", 0, 0, 0, 0, 1, 1
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/users/pages/main-page/main-page.html", "HTML", 1, 0, 0, 0, 1, 2
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/users/pages/main-page/main-page.ts", "TypeScript", 0, 9, 0, 0, 3, 12
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/users/routes.ts", "TypeScript", 0, 9, 0, 0, 3, 12
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/firms/firms.css", "PostCSS", 0, 0, 9, 0, 6, 15
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/firms/firms.html", "HTML", 4, 0, 0, 0, 1, 5
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/firms/firms.ts", "TypeScript", 0, 32, 0, 0, 6, 38
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/footer/footer.css", "PostCSS", 0, 0, 8, 0, 2, 10
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/footer/footer.html", "HTML", 2, 0, 0, 0, 1, 3
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/footer/footer.ts", "TypeScript", 0, 9, 0, 0, 3, 12
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/navigation/navigation.css", "PostCSS", 0, 0, 28, 0, 6, 34
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/navigation/navigation.html", "HTML", 17, 0, 0, 0, 1, 18
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/navigation/navigation.ts", "TypeScript", 0, 68, 0, 10, 4, 82
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/organization/organization.css", "PostCSS", 0, 0, 9, 0, 3, 12
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/organization/organization.html", "HTML", 2, 0, 0, 0, 1, 3
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/components/organization/organization.ts", "TypeScript", 0, 22, 0, 0, 4, 26
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/layout.css", "PostCSS", 0, 0, 37, 0, 6, 43
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/layout.html", "HTML", 19, 0, 0, 0, 2, 21
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/layout/layout.ts", "TypeScript", 0, 35, 0, 0, 3, 38
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/directives/click-outside.ts", "TypeScript", 0, 26, 0, 0, 6, 32
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/directives/visibleOnce.ts", "TypeScript", 0, 33, 0, 0, 6, 39
"/Users/maksym/Documents/Projects/Roomly/frontend/src/app/shared/pipes/fileToDataUrl.pipe.ts", "TypeScript", 0, 16, 0, 0, 3, 19
